model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
lasso,8,alpha=0.01,0.1336969315486146,0.0024441388538048725,0.1659078701212598,0.002854971565773894,0.6901282534050075,0.01067778520726905,0.050724637681159424,0.00836739520564675,plain,False,flat,,
lasso,8,alpha=0.1,0.17873821859944833,0.0027841488779211487,0.20454581480350437,0.0032434504614214017,0.5290099423697886,0.01484099486040828,0.007246376811594203,0.0,plain,False,flat,,
lasso,8,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,8,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,9,alpha=0.001,0.13079358785644815,0.002608135537743978,0.16622720128233204,0.0030777700612497644,0.6889211834925686,0.011453826837483182,0.04782608695652174,0.010909748589986681,plain,False,flat,,
lasso,9,alpha=0.01,0.1336969315451836,0.0024441388556037955,0.16590787011652908,0.002854971566304872,0.6901282534226435,0.010677785209395356,0.050724637681159424,0.00836739520564675,plain,False,flat,,
lasso,9,alpha=0.1,0.17873821859944833,0.0027841488779211487,0.20454581480350437,0.0032434504614214017,0.5290099423697886,0.01484099486040828,0.007246376811594203,0.0,plain,False,flat,,
lasso,9,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,9,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,10,alpha=0.001,0.13107854485760534,0.002713489505137459,0.16693085017736678,0.0030415708162404406,0.6862850396523494,0.011322421185089464,0.04782608695652174,0.011931486990558907,plain,False,flat,,
lasso,10,alpha=0.01,0.1333718535495878,0.0024544058037434193,0.16596792058449028,0.002732817365007239,0.689910869921081,0.010216629702486497,0.05,0.008675499998100468,plain,False,flat,,
lasso,10,alpha=0.1,0.17873673267986256,0.0027823610785931365,0.20454297149869238,0.0032407498058253546,0.5290232107615672,0.014828333488358061,0.007246376811594203,0.0,plain,False,flat,,
lasso,10,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,10,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
ridge,0,alpha=0.01,0.1673585818776211,0.0010465351317392958,0.20469490819130698,0.0010590409705551408,0.5284184367136335,0.0048840046088131995,0.05579710144927537,0.010276351394291134,plain,False,flat,,
ridge,0,alpha=0.1,0.16736437311168864,0.00104614382558124,0.20468685952619498,0.0010583480496702063,0.5284555354092084,0.004880621444671811,0.05507246376811594,0.009166022203386606,plain,False,flat,,
